"referenceType","referenceId","domainOrGroup","english","preferredArabic","alternateArabic","direction","englishExactMatchCount","preferredArabicExactMatchCount","alternateArabicExactMatchCount","englishFiles","preferredArabicFiles","alternateArabicFiles","coverageStatus","notes"
"Terminology","TERM-036","DEF","Naval Activity","نشاط بحري عسكري","نشاط بحري","RTL","1","0","1","src/locales/en.json","","src/locales/ar.json","Alternate or avoided Arabic found","Distinguish from commercial maritime activity."
"Terminology","TERM-037","DEF","Nuclear Facility","منشأة نووية","مرفق نووي","RTL","0","0","0","","","","No exact locale match found","Preserve source classification."
"Terminology","TERM-038","DEF","Radiation Watch","مراقبة الإشعاع","رصد إشعاعي","RTL","1","0","0","src/locales/en.json","","","English found; preferred Arabic not found","Do not imply causation without evidence."
"Terminology","TERM-039","DEF","GPS Interference","تداخل في نظام تحديد المواقع","تشويش GPS","Mixed","0","0","0","","","","No exact locale match found","Use broader GNSS term when applicable."
"Terminology","TERM-040","DEF","GNSS Spoofing","خداع إشارات الملاحة عبر الأقمار الصناعية","تزوير GPS","Mixed","0","0","0","","","","No exact locale match found","Use “GNSS” in technical evidence."
"Terminology","TERM-041","AVI","ADS-B Tracking","تتبع الطائرات عبر ADS-B","تتبع الرحلات","Mixed","0","0","0","","","","No exact locale match found","Preserve ADS-B in LTR."
"Terminology","TERM-042","AVI","Aircraft Position","موقع الطائرة","موضع الطائرة","RTL","0","0","0","","","","No exact locale match found","Show live/delayed/estimated state."
"Terminology","TERM-043","AVI","Ground Stop","إيقاف أرضي للرحلات","تعليق الإقلاع","RTL","1","0","0","src/locales/en.json","","","English found; preferred Arabic not found","Preserve issuing authority."
"Terminology","TERM-044","AVI","Diversion","تحويل مسار الرحلة","تغيير وجهة الرحلة","RTL","0","0","0","","","","No exact locale match found","Distinguish operational diversion from route change."
"Terminology","TERM-045","AVI","Airspace Closure","إغلاق المجال الجوي","إقفال المجال الجوي","RTL","0","0","0","","","","No exact locale match found","Show geography and effective period."
"Terminology","TERM-046","AVI","NOTAM","إشعار للطيارين (NOTAM)","تنبيه ملاحي","Mixed","1","0","0","src/locales/en.json","","","English found; preferred Arabic not found","Keep NOTAM in LTR and preserve original text."
"Terminology","TERM-047","AVI","Airport Delay","تأخر عمليات المطار","تأخير المطار","RTL","0","0","0","","","","No exact locale match found","Show source and metric definition."
"Terminology","TERM-048","AVI","Route Monitoring","مراقبة المسارات الجوية","تتبع الخطوط","RTL","0","0","0","","","","No exact locale match found","Use for watchlists and exposure."
"Terminology","TERM-049","MAR","Automatic Identification System (AIS)","نظام التعريف الآلي للسفن (AIS)","نظام تتبع السفن","Mixed","0","0","0","","","","No exact locale match found","Keep AIS in LTR."
"Terminology","TERM-050","MAR","Vessel Position","موقع السفينة","موضع السفينة","RTL","0","0","0","","","","No exact locale match found","Show live, delayed or inferred state."
"Terminology","TERM-051","MAR","Dark Shipping","شحن بحري معتم","الشحن المظلم","RTL","0","0","0","","","","No exact locale match found","Use as an indicator, not proof of wrongdoing."
"Terminology","TERM-052","MAR","Maritime Chokepoint","ممر بحري استراتيجي ضيق","عنق زجاجة بحري","RTL","0","0","0","","","","No exact locale match found","Preferred for Hormuz, Bab Al-Mandab, Suez, etc."
"Terminology","TERM-053","MAR","Port Throughput","حجم مناولة الميناء","إنتاجية الميناء","RTL","0","0","0","","","","No exact locale match found","Specify metric and period."
"Terminology","TERM-054","MAR","Route Exposure","التعرض لمخاطر المسار","مخاطر الطريق","RTL","0","0","0","","","","No exact locale match found","Use for aviation, maritime and land routes."
"Terminology","TERM-055","MAR","Maritime Corridor Risk","مخاطر الممر البحري","خطر خط الملاحة","RTL","0","0","0","","","","No exact locale match found","Show contributing factors."
"Terminology","TERM-056","ENE","Oil Pipeline","خط أنابيب نفط","أنبوب نفطي","RTL","1","1","0","src/locales/en.json","src/locales/ar.json","","Preferred Arabic found","Use asset-specific name when available."
"Terminology","TERM-057","ENE","Gas Storage","منشأة تخزين الغاز","مخزون الغاز","RTL","0","0","0","","","","No exact locale match found","Distinguish facility from inventory."
"Terminology","TERM-058","ENE","LNG Terminal","محطة للغاز الطبيعي المسال","ميناء LNG","Mixed","1","0","0","src/locales/en.json","","","English found; preferred Arabic not found","Keep LNG in LTR."
"Terminology","TERM-059","ENE","Petroleum Inventory","مخزونات المنتجات البترولية","احتياطي النفط","RTL","0","0","0","","","","No exact locale match found","Specify type and reporting authority."
"Terminology","TERM-060","ENE","Energy Disruption","تعطل في إمدادات الطاقة","انقطاع الطاقة","RTL","0","0","0","","","","No exact locale match found","Show affected assets and duration."
"Terminology","TERM-061","ENE","Critical Minerals","معادن حرجة","معادن استراتيجية","RTL","2","0","0","src/locales/en.json","","","English found; preferred Arabic not found","Use policy context."
"Terminology","TERM-062","ENE","Commodity Market Indicator","مؤشر سوق السلع","إشارة سلعية","RTL","0","0","0","","","","No exact locale match found","Show source and timeframe."
"Terminology","TERM-063","ECO","Financial Stress","ضغوط مالية","توتر مالي","RTL","0","0","0","","","","No exact locale match found","Show methodology."
"Terminology","TERM-064","ECO","Sector Heat Map","خريطة حرارية للقطاعات","خريطة القطاعات","RTL","1","1","0","src/locales/en.json","src/locales/ar.json","","Preferred Arabic found","Provide accessible text alternative."
"Terminology","TERM-065","ECO","Foreign Exchange (FX)","سوق الصرف الأجنبي","العملات","Mixed","0","0","1","","","src/locales/ar.json","Alternate or avoided Arabic found","Keep FX in LTR in technical contexts."
"Terminology","TERM-066","ECO","Bond Yield","عائد السند","فائدة السند","RTL","0","0","0","","","","No exact locale match found","Do not translate yield as interest rate in all contexts."
"Terminology","TERM-067","ECO","Consumer Price Index (CPI)","مؤشر أسعار المستهلك","التضخم","Mixed","0","0","0","","","","No exact locale match found","CPI is not identical to inflation."
"Terminology","TERM-068","ECO","Gross Domestic Product (GDP)","الناتج المحلي الإجمالي","الناتج القومي","Mixed","0","0","0","","","","No exact locale match found","Keep GDP in LTR where used."
"Terminology","TERM-069","ECO","Stablecoin","عملة رقمية مستقرة","عملة مستقرة","RTL","0","0","0","","","","No exact locale match found","Use regulatory context."
"Terminology","TERM-070","ECO","ETF Flow","تدفقات الصناديق المتداولة","تدفقات ETF","Mixed","0","0","0","","","","No exact locale match found","Keep ETF in LTR where space is limited."
"Terminology","TERM-071","ECO","Trade Flow","تدفق التجارة","حركة التجارة","RTL","0","0","0","","","","No exact locale match found","Specify source and period."
"Terminology","TERM-072","ECO","Procurement Opportunity","فرصة مشتريات","مناقصة","RTL","0","0","0","","","","No exact locale match found","Use precise subtype when known."
"Terminology","TERM-073","INF","Undersea Cable","كابل بحري","كابل تحت البحر","RTL","1","3","0","src/locales/en.json","src/locales/ar.json","","Preferred Arabic found","Use asset category in map legends."
"Terminology","TERM-074","INF","Data Centre","مركز بيانات","مركز معلومات","RTL","0","3","0","","src/locales/ar.json","","Preferred Arabic found","Preferred UAE spelling may follow organizational standards."
"Terminology","TERM-075","INF","Cloud Region","منطقة سحابية","إقليم سحابي","RTL","1","1","0","src/locales/en.json","src/locales/ar.json","","Preferred Arabic found","Use provider’s official region name."
"Terminology","TERM-076","INF","Infrastructure Exposure","تعرض البنية التحتية للمخاطر","مخاطر البنية التحتية","RTL","2","0","0","src/locales/en.json","","","English found; preferred Arabic not found","Show method and radius/network logic."
"Terminology","TERM-077","INF","Cascading Risk","مخاطر متسلسلة","خطر متتابع","RTL","0","0","0","","","","No exact locale match found","Preferred term for infrastructure analysis."
"Terminology","TERM-078","INF","Strategic Waterway","ممر مائي استراتيجي","مجرى مائي استراتيجي","RTL","0","0","0","","","","No exact locale match found","Use with chokepoint taxonomy."
"Terminology","TERM-079","CYB","Internet Outage","انقطاع الإنترنت","تعطل الشبكة","RTL","0","0","0","","","","No exact locale match found","Show measurement limits."
"Terminology","TERM-080","CYB","Traffic Anomaly","شذوذ في حركة الشبكة","خلل حركة البيانات","RTL","0","0","0","","","","No exact locale match found","Anomaly is not automatically an attack."
"Terminology","TERM-081","CYB","Malicious IP Address","عنوان IP ضار","عنوان مشبوه","Mixed","0","0","0","","","","No exact locale match found","Keep IP in LTR."
"Terminology","TERM-082","CYB","Command-and-Control Infrastructure","بنية قيادة وتحكم إلكترونية","خوادم C2","Mixed","0","0","0","","","","No exact locale match found","Keep C2 in LTR when used."
"Terminology","TERM-083","CYB","Malware Hosting","استضافة برمجيات خبيثة","موقع ضار","RTL","0","0","0","","","","No exact locale match found","Preserve source confidence."
"Terminology","TERM-084","CYB","Phishing Indicator","مؤشر تصيد احتيالي","رابط تصيد","RTL","0","0","0","","","","No exact locale match found","Do not expose unsafe links as clickable by default."
"Terminology","TERM-085","CYB","Ransomware Activity","نشاط برمجيات الفدية","هجوم فدية","RTL","0","0","0","","","","No exact locale match found","Distinguish actor claims from verified incidents."
"Terminology","TERM-086","CYB","Cyber Threat Geolocation","تحديد الموقع الجغرافي للتهديد السيبراني","موقع الهجوم","RTL","0","0","0","","","","No exact locale match found","Expose limitations and confidence."
"Terminology","TERM-087","CLH","Earthquake","زلزال","هزة أرضية","RTL","2","2","0","src/locales/en.json","src/locales/ar.json","","Preferred Arabic found","Show magnitude, depth, time and source."
"Terminology","TERM-088","CLH","Tropical Cyclone","إعصار مداري","عاصفة مدارية","RTL","0","0","0","","","","No exact locale match found","Preserve official storm name."
"Terminology","TERM-089","CLH","Wildfire","حريق غابات","حريق بري","RTL","0","0","0","","","","No exact locale match found","Distinguish reported event from satellite detection."
"Terminology","TERM-090","CLH","Satellite Fire Detection","رصد حرائق بالأقمار الصناعية","نقطة حريق","RTL","1","0","0","pro-test/src/locales/en.json","","","English found; preferred Arabic not found","Indicator only; may contain false positives."
"Terminology","TERM-091","CLH","Drought","جفاف","شح الأمطار","RTL","0","0","0","","","","No exact locale match found","Specify indicator."
"Terminology","TERM-092","CLH","Temperature Anomaly","انحراف درجات الحرارة","شذوذ حراري","RTL","0","0","0","","","","No exact locale match found","Show baseline period."
"Terminology","TERM-093","CLH","Disease Outbreak","تفشٍ مرضي","انتشار وباء","RTL","0","0","0","","","","No exact locale match found","Preserve authority and case definition."
"Terminology","TERM-094","CLH","Epidemiological Alert","تنبيه وبائي","تحذير صحي","RTL","0","0","0","","","","No exact locale match found","Show issuing organization."
"Terminology","TERM-095","CLH","Humanitarian Emergency","حالة طوارئ إنسانية","أزمة إنسانية","RTL","0","0","0","","","","No exact locale match found","Use source and severity context."
"Terminology","TERM-096","TEC","Artificial Intelligence Regulation","تنظيم الذكاء الاصطناعي","قانون الذكاء الاصطناعي","RTL","0","0","0","","","","No exact locale match found","Use jurisdiction and status."
"Terminology","TERM-097","TEC","Semiconductor Signal","مؤشر في قطاع أشباه الموصلات","إشارة رقائق","RTL","0","0","0","","","","No exact locale match found","Use in technology and supply-chain analysis."
"Terminology","TERM-098","TEC","Startup Hub","مركز للشركات الناشئة","حاضنة أعمال","RTL","1","0","0","src/locales/en.json","","","English found; preferred Arabic not found","Distinguish hub from accelerator."
"Terminology","TERM-099","TEC","Venture Capital","رأس المال الجريء","رأس المال المخاطر","RTL","0","0","0","","","","No exact locale match found","Use organizational preferred term consistently."
"Terminology","TERM-100","TEC","Platform Outage","تعطل منصة تقنية","انقطاع خدمة","RTL","0","0","0","","","","No exact locale match found","Show provider status and independent evidence."
"Terminology","TERM-101","SRC","Source Registry","سجل المصادر","دليل المصادر","RTL","0","0","0","","","","No exact locale match found","Primary administrative term."
"Terminology","TERM-102","SRC","Source Governance","حوكمة المصادر","إدارة المصادر","RTL","0","0","0","","","","No exact locale match found","Use for the program, not only administration."
"Terminology","TERM-103","SRC","Credibility Tier","مستوى الموثوقية التحريرية","تصنيف المصدر","RTL","0","0","0","","","","No exact locale match found","Do not equate with truth of each item."
"Terminology","TERM-104","SRC","State Affiliation","الارتباط بجهة حكومية","مصدر حكومي","RTL","0","0","0","","","","No exact locale match found","Allow declared, assessed, disputed and unknown."
"Terminology","TERM-105","SRC","Propaganda Risk","مخاطر الدعاية أو التأثير","خطر التضليل","RTL","0","0","0","","","","No exact locale match found","Do not use as a blanket truth judgment."
"Terminology","TERM-106","SRC","Freshness SLA","اتفاقية مستوى حداثة البيانات","زمن التحديث","Mixed","0","0","0","","","","No exact locale match found","SLA may be internal even if source has no contract."
"Terminology","TERM-107","SRC","Fallback Provider","مزود احتياطي","مصدر بديل","RTL","0","0","0","","","","No exact locale match found","Show when active."
"Terminology","TERM-108","SRC","Last Successful Collection","آخر عملية جمع ناجحة","آخر تحديث","RTL","0","0","1","","","src/locales/ar.json","Alternate or avoided Arabic found","Not identical to source publication time."
"Terminology","TERM-109","SRC","Data Licence","ترخيص البيانات","رخصة البيانات","RTL","0","0","0","","","","No exact locale match found","Record unknown where unresolved."
"Terminology","TERM-110","SRC","Usage Restriction","قيد استخدام","شرط استخدام","RTL","0","0","0","","","","No exact locale match found","Show in administration and exports."
"Terminology","TERM-111","ALT","Critical Alert","تنبيه حرج","تحذير حرج","RTL","0","0","0","","","","No exact locale match found","Reserve highest severity."
"Terminology","TERM-112","ALT","High-Priority Signal","إشارة عالية الأولوية","تنبيه مرتفع","RTL","0","0","1","","","src/locales/ar.json","Alternate or avoided Arabic found","Signal is not necessarily an alert."
"Terminology","TERM-113","ALT","Acknowledge","إقرار بالاطلاع","تأكيد الاستلام","RTL","0","0","0","","","","No exact locale match found","Do not translate as approval."
"Terminology","TERM-114","ALT","Assign","إسناد","تعيين","RTL","0","0","0","","","","No exact locale match found","Use in operational workflows."
"Terminology","TERM-115","ALT","Archive","أرشفة","حفظ","RTL","0","0","2","","","src/locales/ar.json","Alternate or avoided Arabic found","Not equivalent to deletion."
"Terminology","TERM-116","ALT","Suppression Window","فترة كبح التنبيهات","فترة إسكات","RTL","0","0","0","","","","No exact locale match found","Use in alert configuration."
"Terminology","TERM-117","ALT","Escalation Rule","قاعدة تصعيد","إجراء تصعيد","RTL","0","0","0","","","","No exact locale match found","Show trigger and owner."
"Terminology","TERM-118","IAM","Least Privilege","أقل صلاحية لازمة","الحد الأدنى للصلاحيات","RTL","0","0","0","","","","No exact locale match found","Core permission principle."
"Terminology","TERM-119","IAM","Role-Based Access Control (RBAC)","التحكم في الوصول القائم على الأدوار","صلاحيات الأدوار","Mixed","0","0","0","","","","No exact locale match found","Keep RBAC in LTR in technical documentation."
"Terminology","TERM-120","IAM","Attribute-Based Access Control (ABAC)","التحكم في الوصول القائم على السمات","صلاحيات السمات","Mixed","0","0","0","","","","No exact locale match found","Keep ABAC in LTR in technical documentation."
"Terminology","TERM-121","IAM","Permission Catalogue","دليل الصلاحيات","مكتبة الصلاحيات","RTL","0","0","0","","","","No exact locale match found","Preferred employee-facing term."
"Terminology","TERM-122","IAM","Permission Owner","مالك الصلاحية","مسؤول الصلاحية","RTL","0","0","0","","","","No exact locale match found","May be system or data owner."
"Terminology","TERM-123","IAM","Separation of Duties","فصل المهام","فصل الصلاحيات","RTL","0","0","0","","","","No exact locale match found","Use in conflict rules."
"Terminology","TERM-124","IAM","Access Certification","مراجعة دورية للصلاحيات","اعتماد الصلاحيات","RTL","0","0","0","","","","No exact locale match found","Preferred governance term."
"Terminology","TERM-125","IAM","Temporary Permission","صلاحية مؤقتة","وصول مؤقت","RTL","0","0","0","","","","No exact locale match found","Must expire automatically."
"Terminology","TERM-126","IAM","Conditional Access","وصول مشروط","صلاحية مشروطة","RTL","0","0","0","","","","No exact locale match found","Use in ABAC context."
"Terminology","TERM-127","IAM","Permission Conflict","تعارض الصلاحيات","تضارب الصلاحيات","RTL","0","0","0","","","","No exact locale match found","Show resolution path."
"Terminology","TERM-128","IAM","Unauthorized Access Attempt","محاولة وصول غير مصرح بها","محاولة دخول مرفوضة","RTL","0","0","0","","","","No exact locale match found","Record in audit."
"Terminology","TERM-129","UX","Operational Picture","المشهد التشغيلي","الصورة التشغيلية","RTL","0","0","0","","","","No exact locale match found","Approved primary workspace label."
"Terminology","TERM-130","UX","Intelligence Map","الخريطة الاستخباراتية","خريطة المعلومات","RTL","0","0","0","","","","No exact locale match found","Approved page label."
"Terminology","TERM-131","UX","Source Health Centre","مركز صحة المصادر","حالة المصادر","RTL","0","0","0","","","","No exact locale match found","Administrative/operations term."
"Terminology","TERM-132","UX","Context Drawer","درج سياقي","لوحة جانبية","RTL","0","0","0","","","","No exact locale match found","Use on desktop/tablet."
"Terminology","TERM-133","UX","Bottom Sheet","لوحة سفلية","نافذة سفلية","RTL","0","0","0","","","","No exact locale match found","Use in mobile design documentation."
"Terminology","TERM-134","UX","Layer Controller","متحكم الطبقات","قائمة الطبقات","RTL","0","0","0","","","","No exact locale match found","Avoid long checkbox lists."
"Terminology","TERM-135","UX","Saved View","عرض محفوظ","منظور محفوظ","RTL","0","0","0","","","","No exact locale match found","Use with shareable state."
"Terminology","TERM-136","UX","Data Cutoff","وقت إقفال البيانات","وقت التقرير","RTL","0","0","0","","","","No exact locale match found","Required in exports."
"Terminology","TERM-137","UX","Last Complete Refresh","آخر تحديث مكتمل","آخر تحديث","RTL","0","0","1","","","src/locales/ar.json","Alternate or avoided Arabic found","Distinguish from partial refresh."
"Status Label","STATUS-001","Verification","Verified Fact","حقيقة موثقة","","RTL","0","0","0","","","","No exact locale match found","Meets an approved verification rule; not granted automatically to official-source content."
"Status Label","STATUS-002","Verification","Source Claim","ادعاء من المصدر","","RTL","0","0","0","","","","No exact locale match found","Statement attributed to a source and not automatically verified."
"Status Label","STATUS-003","Verification","Preliminary Indicator","مؤشر أولي","","RTL","0","0","0","","","","No exact locale match found","Early signal requiring additional corroboration."
"Status Label","STATUS-004","Verification","Machine Inference","استنتاج آلي","","RTL","0","0","0","","","","No exact locale match found","Model- or rule-generated interpretation with evidence and confidence."
"Status Label","STATUS-005","Verification","Analyst Assessment","تقدير تحليلي","","RTL","0","0","0","","","","No exact locale match found","Human judgment supported by evidence and assumptions."
"Status Label","STATUS-006","Verification","Forecast","توقع","","RTL","0","0","0","","","","No exact locale match found","Forward-looking estimate with explicit uncertainty."
"Status Label","STATUS-007","Verification","Contradictory Information","معلومات متعارضة","","RTL","0","0","0","","","","No exact locale match found","Relevant sources materially disagree."
"Status Label","STATUS-008","Verification","Unavailable Data","بيانات غير متاحة","","RTL","0","0","0","","","","No exact locale match found","The platform cannot currently observe the required information."
"Status Label","STATUS-009","Verification","Non-live Demonstration Data","بيانات تجريبية غير حية","","RTL","0","0","0","","","","No exact locale match found","Simulated or test data that must never appear as live intelligence."
"Status Label","STATUS-010","Source Health","Fresh","محدث","","RTL","4","4","0","src/locales/en.json","src/locales/ar.json","","Preferred Arabic found","Within the approved freshness SLA."
"Status Label","STATUS-011","Source Health","Partially Fresh","محدث جزئياً","","RTL","0","0","0","","","","No exact locale match found","Some feeds, regions or fields are current while others are delayed."
"Status Label","STATUS-012","Source Health","Delayed","متأخر","","RTL","0","1","0","","src/locales/ar.json","","Preferred Arabic found","Beyond the expected refresh interval but within the grace threshold."
"Status Label","STATUS-013","Source Health","Failed","متعثر","","RTL","0","0","0","","","","No exact locale match found","Recent collection failed or repeated failures exceed threshold."
"Status Label","STATUS-014","Source Health","Unavailable","غير متاح","","RTL","4","5","0","src/locales/en.json","src/locales/ar.json","","Preferred Arabic found","Provider, endpoint, licence or dependency is unavailable."
"Status Label","STATUS-015","Source Health","Credential Required","يتطلب مفتاح وصول","","RTL","0","0","0","","","","No exact locale match found","Implementation exists but approved authentication is absent."
"Status Label","STATUS-016","Source Health","Experimental","تجريبي","","RTL","0","0","0","","","","No exact locale match found","Not approved for normal operational reliance."
"Status Label","STATUS-017","Source Health","Fallback Source","مصدر احتياطي","","RTL","0","0","0","","","","No exact locale match found","Data is currently supplied by a fallback provider."
"Status Label","STATUS-018","Alert Severity","Critical","حرج","","RTL","6","8","0","src/locales/en.json","src/locales/ar.json","","Preferred Arabic found","Immediate or potentially severe operational impact."
"Status Label","STATUS-019","Alert Severity","High","مرتفع","","RTL","12","12","0","src/locales/en.json","src/locales/ar.json","","Preferred Arabic found","Significant impact requiring prompt analyst attention."
"Status Label","STATUS-020","Alert Severity","Medium","متوسط","","RTL","4","7","0","src/locales/en.json","src/locales/ar.json","","Preferred Arabic found","Relevant change requiring monitoring."
"Status Label","STATUS-021","Alert Severity","Low","منخفض","","RTL","7","6","0","src/locales/en.json","src/locales/ar.json","","Preferred Arabic found","Limited impact or low-confidence development."
"Status Label","STATUS-022","Alert Severity","Informational","معلوماتي","","RTL","0","0","0","","","","No exact locale match found","Context, system status or low-impact information."
"Status Label","STATUS-023","Permission State","Requested","مطلوبة","","RTL","0","0","0","","","","No exact locale match found","Submitted by the employee."
"Status Label","STATUS-024","Permission State","Under Manager Review","تحت مراجعة المسؤول","","RTL","0","0","0","","","","No exact locale match found","Awaiting line-manager decision."
"Status Label","STATUS-025","Permission State","Under Owner Review","تحت مراجعة مالك النظام","","RTL","0","0","0","","","","No exact locale match found","Awaiting permission or system owner."
"Status Label","STATUS-026","Permission State","More Information Required","تحتاج إلى معلومات إضافية","","RTL","0","0","0","","","","No exact locale match found","Returned to requester for clarification."
"Status Label","STATUS-027","Permission State","Approved","معتمدة","","RTL","0","0","0","","","","No exact locale match found","Required approvals completed."
"Status Label","STATUS-028","Permission State","Scheduled for Activation","مجدولة للتفعيل","","RTL","0","0","0","","","","No exact locale match found","Approved with a future start date."
"Status Label","STATUS-029","Permission State","Active","فعالة","","RTL","4","0","0","src/locales/en.json","","","English found; preferred Arabic not found","Effective under current conditions."
"Status Label","STATUS-030","Permission State","Suspended","معلقة","","RTL","0","0","0","","","","No exact locale match found","Temporarily inactive."
"Status Label","STATUS-031","Permission State","Expiring Soon","قاربت على الانتهاء","","RTL","0","0","0","","","","No exact locale match found","Within configured expiry-notification threshold."
"Status Label","STATUS-032","Permission State","Expired","منتهية","","RTL","1","0","0","src/locales/en.json","","","English found; preferred Arabic not found","End date or task condition reached."
