"tokenOrValue","tokenType","filePath","officialMappingStatus","rtlImpact","notes"
"#5694","Hex colour","api/mcp/registry/rpc-tools.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5743","Hex colour","api/mcp/registry/rpc-tools.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4859","Hex colour","api/mcp/telemetry.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4859","Hex colour","api/mcp/types.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#6080","Hex colour","api/mcp/types.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"999px","Border radius","api/mcp/ui/chokepoint-monitor-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--bg","CSS custom property","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--fg","CSS custom property","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--muted","CSS custom property","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--card","CSS custom property","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--border","CSS custom property","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--accent","CSS custom property","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--low","CSS custom property","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--moderate","CSS custom property","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--high","CSS custom property","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--severe","CSS custom property","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#ffffff","Hex colour","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#0f172a","Hex colour","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#64748b","Hex colour","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#f8fafc","Hex colour","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#e2e8f0","Hex colour","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#2563eb","Hex colour","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#16a34a","Hex colour","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#ca8a04","Hex colour","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#ea580c","Hex colour","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#dc2626","Hex colour","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#0b1220","Hex colour","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#e5e7eb","Hex colour","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#94a3b8","Hex colour","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#131c2e","Hex colour","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#1e293b","Hex colour","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#60a5fa","Hex colour","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"999px","Border radius","api/mcp/ui/country-risk-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"999px","Border radius","api/mcp/ui/forecasts-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"999px","Border radius","api/mcp/ui/market-radar-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#fff","Hex colour","api/mcp/ui/news-intelligence-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"999px","Border radius","api/mcp/ui/news-intelligence-app.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--bg","CSS custom property","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--fg","CSS custom property","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--muted","CSS custom property","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--card","CSS custom property","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--border","CSS custom property","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--accent","CSS custom property","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--low","CSS custom property","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--moderate","CSS custom property","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--high","CSS custom property","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--severe","CSS custom property","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--up","CSS custom property","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--down","CSS custom property","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#ffffff","Hex colour","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#0f172a","Hex colour","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#64748b","Hex colour","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#f8fafc","Hex colour","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#e2e8f0","Hex colour","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#2563eb","Hex colour","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#16a34a","Hex colour","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#ca8a04","Hex colour","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#ea580c","Hex colour","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#dc2626","Hex colour","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#0b1220","Hex colour","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#e5e7eb","Hex colour","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#94a3b8","Hex colour","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#131c2e","Hex colour","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#1e293b","Hex colour","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#60a5fa","Hex colour","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"999px","Border radius","api/mcp/ui/shell.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4866","Hex colour","api/mcp/usage.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4859","Hex colour","api/mcp/usage.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4770","Hex colour","api/mcp/usage.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4724","Hex colour","api/not-found.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5426","Hex colour","api/notification-channels.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4922","Hex colour","api/notification-channels.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5622","Hex colour","api/notification-channels.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5646","Hex colour","api/notification-channels.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5650","Hex colour","api/notification-channels.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5600","Hex colour","api/notification-channels.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5600","Hex colour","api/notify.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"ui-monospace,'SF Mono','Cascadia Code',monospace","Font family declaration","api/oauth/authorize-pro.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5622","Hex colour","api/oauth/authorize-pro.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#0a0a0a","Hex colour","api/oauth/authorize-pro.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#e8e8e8","Hex colour","api/oauth/authorize-pro.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#2d8a6e","Hex colour","api/oauth/authorize-pro.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#555","Hex colour","api/oauth/authorize-pro.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#111","Hex colour","api/oauth/authorize-pro.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#1e1e1e","Hex colour","api/oauth/authorize-pro.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#ef4444","Hex colour","api/oauth/authorize-pro.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#666","Hex colour","api/oauth/authorize-pro.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#444","Hex colour","api/oauth/authorize-pro.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#888","Hex colour","api/oauth/authorize-pro.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#2a2a2a","Hex colour","api/oauth/authorize-pro.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#333","Hex colour","api/oauth/authorize-pro.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#8592","Hex colour","api/oauth/authorize-pro.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5600","Hex colour","api/oauth/authorize-pro.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"ui-monospace,'SF Mono','Cascadia Code',monospace","Font family declaration","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"inherit","Font family declaration","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#0a0a0a","Hex colour","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#e8e8e8","Hex colour","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#2d8a6e","Hex colour","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#555","Hex colour","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#111","Hex colour","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#1e1e1e","Hex colour","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#ef4444","Hex colour","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#666","Hex colour","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#444","Hex colour","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#888","Hex colour","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#2a2a2a","Hex colour","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#333","Hex colour","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#8592","Hex colour","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#fff","Hex colour","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#2563eb","Hex colour","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#1d4ed8","Hex colour","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#246e58","Hex colour","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#8230","Hex colour","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"0}","Border radius","api/oauth/authorize.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#ef4444","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#f97316","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#eab308","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#22c55e","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3b82f6","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#0c0c18","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#0a0a12","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#fff","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#666","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#222","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#ffffff","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#aaa","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#555","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#777","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#1a1a2e","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#333","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#888","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#8b5cf6","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#ddd","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#111","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#080810","Hex colour","api/og-story.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3097","Hex colour","api/product-catalog.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#223","Hex colour","api/referral/me.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3097","Hex colour","api/seed-contract-probe.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3557","Hex colour","api/seed-contract-probe.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3803","Hex colour","api/seed-contract-probe.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3823","Hex colour","api/seed-contract-probe.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#6060","Hex colour","api/seed-health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4920","Hex colour","api/seed-health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4927","Hex colour","api/seed-health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3494","Hex colour","api/seed-health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5875","Hex colour","api/seed-health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5863","Hex colour","api/seed-health.js","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
