"name","command"
"lint:unicode","node scripts/check-unicode-safety.mjs"
"lint:unicode:staged","node scripts/check-unicode-safety.mjs --staged"
"postinstall","cd blog-site && npm ci --prefer-offline"
"prebuild","npm run product:facts && npm run build:openapi && npm run build:agent-skills"
"prebuild:blog","npm run product:facts"
"prebuild:commodity","npm run product:facts"
"prebuild:energy","npm run product:facts"
"prebuild:finance","npm run product:facts"
"prebuild:full","npm run product:facts"
"prebuild:happy","npm run product:facts"
"prebuild:pro","npm run product:facts"
"prebuild:tech","npm run product:facts"
"preview","vite preview"
"product:facts","node --import tsx scripts/generate-product-config.mjs && node --import tsx scripts/generate-public-product-facts.mjs"
"product:facts:check","node --import tsx scripts/generate-public-product-facts.mjs --check"
"report:geo-coverage","node scripts/geo-coverage-report.mjs"
"sandbox:fixtures","node scripts/generate-sandbox-fixtures.mjs"
"sandbox:fixtures:check","node scripts/generate-sandbox-fixtures.mjs --check"
"security:local-env-dumps","node scripts/check-local-secret-dumps.mjs"
"security:vite-env-secrets","node scripts/check-vite-env-secrets.mjs"
"sync:bootstrap-tier-keys","node scripts/sync-bootstrap-tier-keys.mjs"
"sync:bootstrap-tier-keys:check","node scripts/sync-bootstrap-tier-keys.mjs --check"
"sync:locales","node scripts/sync-locale-keys.mjs"
"sync:locales:check","node scripts/sync-locale-keys.mjs --check"
"tauri","tauri"
"test:convex","vitest run --config vitest.config.mts"
"test:convex:watch","vitest --config vitest.config.mts"
"test:data","tsx --test --test-concurrency=16 tests/*.test.mjs tests/*.test.mts cli/test/*.test.mjs api/security/report.test.mjs"
"test:dom","vitest run --config vitest.dom.config.mts"
"test:e2e","npm run test:e2e:runtime && npm run test:e2e:full && npm run test:e2e:tech && npm run test:e2e:finance && npm run test:e2e:energy"
"test:e2e:commodity","cross-env VITE_VARIANT=commodity playwright test"
"test:e2e:energy","cross-env VITE_VARIANT=energy playwright test"
"test:e2e:finance","cross-env VITE_VARIANT=finance playwright test"
"test:e2e:full","cross-env VITE_VARIANT=full playwright test"
"test:e2e:happy","cross-env VITE_VARIANT=happy playwright test"
"test:e2e:mcp-grant","cross-env VITE_VARIANT=full playwright test e2e/mcp-grant-consent.spec.ts"
"test:e2e:news-budget","cross-env VITE_VARIANT=full playwright test e2e/dashboard-news-request-budget.spec.ts"
"test:e2e:runtime","cross-env VITE_VARIANT=full playwright test e2e/runtime-fetch.spec.ts"
"test:e2e:tech","cross-env VITE_VARIANT=tech playwright test"
"test:e2e:variant-smoke","npm run test:e2e:variant-smoke:full && npm run test:e2e:variant-smoke:tech && npm run test:e2e:variant-smoke:finance && npm run test:e2e:variant-smoke:commodity && npm run test:e2e:variant-smoke:energy && npm run test:e2e:variant-smoke:happy"
"test:e2e:variant-smoke:commodity","cross-env VITE_VARIANT=commodity playwright test e2e/variant-live-smoke.spec.ts"
"test:e2e:variant-smoke:energy","cross-env VITE_VARIANT=energy playwright test e2e/variant-live-smoke.spec.ts"
"test:e2e:variant-smoke:finance","cross-env VITE_VARIANT=finance playwright test e2e/variant-live-smoke.spec.ts"
"test:e2e:variant-smoke:full","cross-env VITE_VARIANT=full playwright test e2e/variant-live-smoke.spec.ts"
"test:e2e:variant-smoke:happy","cross-env VITE_VARIANT=happy playwright test e2e/variant-live-smoke.spec.ts"
"test:e2e:variant-smoke:tech","cross-env VITE_VARIANT=tech playwright test e2e/variant-live-smoke.spec.ts"
"test:e2e:visual","npm run test:e2e:visual:full && npm run test:e2e:visual:tech"
"test:e2e:visual:full","cross-env VITE_VARIANT=full playwright test -g ""matches golden screenshots per layer and zoom"""
"test:e2e:visual:tech","cross-env VITE_VARIANT=tech playwright test -g ""matches golden screenshots per layer and zoom"""
"test:e2e:visual:update","npm run test:e2e:visual:update:full && npm run test:e2e:visual:update:tech"
"test:e2e:visual:update:full","cross-env VITE_VARIANT=full playwright test -g ""matches golden screenshots per layer and zoom"" --update-snapshots"
"test:e2e:visual:update:tech","cross-env VITE_VARIANT=tech playwright test -g ""matches golden screenshots per layer and zoom"" --update-snapshots"
"test:feeds","node scripts/validate-rss-feeds.mjs"
"test:feeds:ci","node scripts/validate-rss-feeds.mjs --ci"
"test:resilience-validation-smoke","tsx --test tests/resilience-validation-artifacts-schema.test.mts tests/benchmark-resilience-external.test.mjs tests/backtest-resilience-outcomes.test.mjs tests/resilience-sensitivity-v2.test.mts tests/seed-bundle-resilience-validation.test.mjs tests/resilience-validation-import-graph.test.mjs"
"test:sidecar","node --test src-tauri/sidecar/local-api-server.test.mjs src-tauri/open-url-safety.test.mjs api/_cors.test.mjs api/_session.test.mjs api/_api-key.test.mjs api/_user-api-key.test.mjs api/_rate-limit.test.mjs api/_sentry-common.test.mjs api/bootstrap-auth.test.mjs api/wm-session.test.mjs api/product-catalog.test.mjs api/youtube/embed.test.mjs api/cyber-threats.test.mjs api/usni-fleet.test.mjs api/rss-proxy.test.mjs scripts/ais-relay-rss.test.cjs scripts/ais-relay-ingestion.test.cjs scripts/ais-relay-entity-decode.test.cjs api/loaders-xml-wms-regression.test.mjs api/security/report.test.mjs"
"typecheck","tsc --noEmit"
"typecheck:all","tsc --noEmit && tsc --noEmit -p tsconfig.api.json && node scripts/audit-convex-string-calls.cjs"
"typecheck:api","tsc --noEmit -p tsconfig.api.json && node scripts/audit-convex-string-calls.cjs"
"typecheck:dom-tests","tsc --noEmit -p tsconfig.dom-tests.json"
"verify:sitemaps","node scripts/verify-sitemaps.mjs"
"version:check","node scripts/sync-desktop-version.mjs --check"
"version:sync","node scripts/sync-desktop-version.mjs"
"worktree:bootstrap","node scripts/bootstrap-worktree.mjs"
"worktree:bootstrap:test-only","node scripts/bootstrap-worktree.mjs --ignore-scripts"
"worktree:env","node scripts/bootstrap-worktree.mjs --skip-install"
