environmentVariable,serverOrClientBoundary,requiredOrOptional,affectedSourceOrCapability,declaredIn,referencedBy,missingBehavior,notes
GROQ_API_KEY,Server-Side Only,Optional,Groq Cloud LLM Summarization,SELF_HOSTING.md; docker-compose.override.yml,server/_shared/llm.ts; public/settings.html,Falls back to OpenRouter then Transformers.js T5,Free tier 14.4K req/day
OPENROUTER_API_KEY,Server-Side Only,Optional,OpenRouter LLM Summarization,SELF_HOSTING.md; docker-compose.override.yml,server/_shared/llm.ts; public/settings.html,Falls back to browser-side Transformers.js T5,Auto-routes free-tier models
OTX_API_KEY,Server-Side Only,Optional,AlienVault OTX Cyber Threat Pulses,.env.example,api/cyber-threats.js,Falls back to Feodo Tracker and URLhaus,Free AlienVault account
ABUSEIPDB_API_KEY,Server-Side Only,Optional,AbuseIPDB IP Reputation,.env.example,api/cyber-threats.js,Falls back to GeoIP centroid jittering,Free 1000 checks/day
TRAVELPAYOUTS_API_TOKEN,Server-Side Only,Optional,Travelpayouts Flight Trends,SELF_HOSTING.md,server/worldmonitor/aviation/handler.ts,Flight search trends skipped,Optional travel affiliate token
TELEGRAM_API_ID,Server-Side Only,Optional,Telegram MTProto OSINT Relay,docker-compose.override.yml,scripts/ais-relay.cjs,Telegram Intel panel remains empty,Requires Telegram App API ID
TELEGRAM_API_HASH,Server-Side Only,Optional,Telegram MTProto OSINT Relay,docker-compose.override.yml,scripts/ais-relay.cjs,Telegram Intel panel remains empty,Requires Telegram App API Hash
RELAY_SHARED_SECRET,Server-Side Only,Required,Railway Relay Bearer Auth,SELF_HOSTING.md; docker-compose.yml,scripts/ais-relay.cjs; api/_relay.js,Relay refuses unauthenticated requests with 401,Must be random 32-byte hex
REDIS_PASSWORD,Server-Side Only,Required,Upstash / Docker Redis Auth,SELF_HOSTING.md; docker-compose.yml,docker/redis-rest-proxy.mjs; server/_shared/redis.ts,Redis rejects commands without AUTH,Must be random 32-byte hex
REDIS_TOKEN,Server-Side Only,Required,Upstash REST Proxy Token,SELF_HOSTING.md; docker-compose.yml,docker/redis-rest-proxy.mjs; server/_shared/redis.ts,REST proxy rejects requests with 401,Must be random 32-byte hex
LLM_API_URL,Server-Side / Desktop,Optional,Local Ollama / OpenAI-compatible,SELF_HOSTING.md; public/settings.html,src/settings-main.ts; server/_shared/llm.ts,Defaults to http://localhost:11434,Plaintext URL input in Settings
LLM_API_KEY,Server-Side / Desktop,Optional,Local LLM Authentication,SELF_HOSTING.md; public/settings.html,src/settings-main.ts; server/_shared/llm.ts,Optional for local Ollama,Stored in OS Keychain vault
LLM_MODEL,Server-Side / Desktop,Optional,Local LLM Model Selection,SELF_HOSTING.md; public/settings.html,src/settings-main.ts; server/_shared/llm.ts,Auto-discovers available models,e.g. llama3, qwen2.5
OPENSKY_USERNAME,Server-Side Only,Optional,OpenSky Network Higher Limits,SELF_HOSTING.md,scripts/seed-military-flights.mjs,Falls back to OpenSky anonymous rate-limit tier,Optional account for ADS-B
OPENSKY_PASSWORD,Server-Side Only,Optional,OpenSky Network Higher Limits,SELF_HOSTING.md,scripts/seed-military-flights.mjs,Falls back to OpenSky anonymous rate-limit tier,Optional account for ADS-B
